Nitrogen,Phosphorous,potassium,organiccarbon,pH,,,
530,41,284,0.366484428,7,,,
398,49,257,0.623519967,7,,,
437,51,280,0.453510452,8,,,
515,38,241,0.553835047,8,,,
330,51,277,0.674651775,8,,,
343,48,265,0.732942577,8,,,
517,43,251,0.711515799,7,,,
433,47,260,0.551020828,7,,,
298,45,272,0.499822692,8,,,
514,38,282,0.758187212,8,,,
348,43,239,0.681765087,7,,,
441,48,249,0.643422206,7,,,
453,48,258,0.412937586,7,,,
295,43,280,0.554285428,8,,,
469,48,260,0.406232438,7,,,
361,48,276,0.707089997,8,,,
355,43,241,0.392055583,8,,,
371,50,260,0.50152416,7,,,
508,43,290,0.432080085,8,,,
481,50,273,0.654679843,8,,,
549,38,276,0.712506775,7,,,
319,47,260,0.549986659,8,,,
492,49,266,0.372965621,7,,,
324,48,245,0.634043577,6,,,
453,39,289,0.553429451,7,,,
319,40,249,0.605061517,8,,,
286,42,247,0.549138012,6,,,
517,43,271,0.438341549,8,,,
492,47,256,0.364014118,7,,,
471,40,248,0.568154789,6,,,
296,44,265,0.555830879,6,,,
320,43,266,0.690381089,5,,,
391,39,276,0.532205988,5,,,
341,44,286,0.351213251,7,,,
376,51,257,0.697075466,8,,,
452,48,278,0.600108433,8,,,
414,45,234,0.407385975,5,,,
428,46,265,0.389607085,5,,,
400,47,269,0.445916937,6,,,
304,44,254,0.734312395,7,,,
329,49,267,0.556198465,8,,,
296,47,260,0.406693693,5,,,
468,44,243,0.497898051,6,,,
304,38,241,0.531697781,8,,,
428,47,237,0.638682074,7,,,
402,45,275,0.370445148,5,,,
476,46,239,0.680716338,6,,,
433,42,248,0.466739864,6,,,
549,51,275,0.422121748,5,,,
471,44,253,0.729397318,5,,,
321,46,283,0.370529258,7,,,
350,41,280,0.575006937,7,,,
324,48,257,0.386349822,8,,,
298,42,242,0.428343048,8,,,
453,38,261,0.751374676,6,,,
418,46,278,0.513043306,5,,,
547,48,261,0.505202194,7,,,
324,43,286,0.497967846,8,,,
511,47,271,0.745177007,8,,,
452,48,249,0.611346722,8,,,
328,39,272,0.675861608,7,,,
556,49,258,0.595776371,6,,,
377,44,282,0.538855356,5,,,
509,49,263,0.373783232,7,,,
510,47,261,0.37496363,5,,,
535,44,261,0.435562235,8,,,
358,39,241,0.538056854,8,,,
392,42,236,0.401291133,8,,,
486,40,251,0.422102635,8,,,
493,50,261,0.364487039,5,,,
473,44,251,0.62405924,6,,,
387,46,281,0.484867599,6,,,
398,40,232,0.597942278,6,,,
365,43,284,0.661049057,7,,,
411,46,288,0.354486819,5,,,
557,49,236,0.577751782,5,,,
454,38,273,0.418965584,5,,,
503,46,268,0.387936569,5,,,
320,47,244,0.365462545,7,,,
335,49,237,0.712313453,7,,,
545,41,245,0.748380752,7,,,
518,41,241,0.574703094,6,,,
534,51,238,0.357505425,5,,,
305,48,290,0.461776791,8,,,
426,42,237,0.63811979,4,,,
395,39,254,0.677109238,8,,,
389,48,286,0.396305725,6,,,
453,43,284,0.649166484,8,,,
410,47,234,0.428528026,6,,,
344,44,280,0.48230907,8,,,
353,41,261,0.694905934,7,,,
487,42,267,0.363175983,5,,,
326,42,243,0.533759563,6,,,
531,48,257,0.725399938,7,,,
504,48,261,0.397967983,8,,,
331,42,275,0.364477131,6,,,
499,45,241,0.393429133,5,,,
333,42,236,0.375078186,7,,,
544,39,267,0.680429133,5,,,
555,39,235,0.566626661,6,,,
404,38,272,0.528372946,4,,,
523,47,248,0.437669645,5,,,
538,45,270,0.589433118,6,,,
299,48,245,0.645469173,7,,,
455,50,281,0.707932222,8,,,
319,43,271,0.46577464,5,,,
503,39,283,0.572941408,6,,,
369,51,263,0.358515608,7,,,
386,42,233,0.479284857,8,,,
373,43,268,0.700443571,6,,,
452,48,248,0.672713032,7,,,
508,39,259,0.520482184,6,,,
292,44,274,0.615831124,8,,,
452,48,258,0.660256539,7,,,
471,47,272,0.709019576,5,,,
554,49,257,0.460057957,4,,,
353,51,233,0.440016198,8,,,
362,40,288,0.593887918,6,,,
372,49,270,0.482734639,8,,,
360,41,254,0.387968635,7,,,
414,39,281,0.602577322,6,,,
377,42,282,0.677441835,8,,,
488,42,258,0.663046699,6,,,
488,40,283,0.682595043,8,,,
410,44,263,0.378484474,7,,,
394,49,265,0.699924314,7,,,
408,40,264,0.645501829,7,,,
472,39,270,0.722832162,8,,,
503,39,247,0.3783832,4,,,
361,38,285,0.578719866,5,,,
334,39,245,0.502791179,5,,,
473,48,252,0.385414128,6,,,
495,41,260,0.758787473,6,,,
375,40,264,0.362390637,6,,,
314,39,278,0.678428533,5,,,
558,39,233,0.720341608,5,,,
538,44,287,0.609002081,8,,,
304,47,240,0.622139219,8,,,
308,45,251,0.649914455,7,,,
432,41,278,0.389272631,7,,,
410,45,274,0.634877951,4,,,
544,40,253,0.558655499,6,,,
424,48,290,0.445308664,6,,,
409,47,290,0.455407701,6,,,
320,47,244,0.657200315,5,,,
503,50,262,0.669891438,5,,,
387,48,286,0.561144908,8,,,
426,40,250,0.747745668,7,,,
449,39,250,0.523622086,5,,,
527,46,286,0.605019165,6,,,
349,42,271,0.710119469,5,,,
547,46,237,0.564177881,7,,,
304,48,243,0.473204017,6,,,
295,49,267,0.541275566,5,,,
333,48,261,0.640402179,7,,,
398,51,245,0.557979553,6,,,
366,43,270,0.633788839,8,,,
313,47,276,0.456094684,5,,,
303,38,281,0.669324743,7,,,
343,38,234,0.471328498,5,,,
502,46,281,0.707259736,7,,,
419,48,263,0.758699801,7,,,
552,50,250,0.712730572,7,,,
451,49,250,0.424104923,7,,,
386,50,277,0.528813238,6,,,
432,48,270,0.417606964,8,,,
302,50,287,0.736935627,4,,,
482,41,283,0.402447667,5,,,
475,40,242,0.687699611,6,,,
291,46,263,0.550582229,6,,,
472,49,273,0.715634498,6,,,
507,48,246,0.520301895,6,,,
529,48,275,0.428012755,8,,,
353,46,274,0.455297731,6,,,
481,42,234,0.403194409,7,,,
532,48,261,0.63086398,5,,,
500,47,236,0.654412433,6,,,
459,43,274,0.461101711,8,,,
557,49,242,0.493983262,6,,,
490,44,261,0.436729437,8,,,
485,44,286,0.56445006,6,,,
441,40,252,0.65754846,8,,,
512,40,285,0.487088512,6,,,
407,42,263,0.388261672,7,,,
406,42,286,0.721571742,6,,,
528,49,242,0.454356684,8,,,
347,48,248,0.642574863,5,,,
455,51,259,0.698711617,8,,,
391,41,251,0.45555231,5,,,
396,49,274,0.484894959,7,,,
433,38,264,0.634070484,5,,,
294,45,285,0.613588891,6,,,
504,41,270,0.436281425,5,,,
526,50,244,0.591449422,6,,,
504,45,247,0.368518134,5,,,
485,39,232,0.351779862,8,,,
382,44,233,0.732648812,5,,,
533,47,246,0.494589967,6,,,
435,39,274,0.482916777,7,,,
330,48,258,0.582188255,5,,,
489,43,254,0.659475962,7,,,
342,50,239,0.576477991,7,,,
511,42,277,0.360357846,8,,,
440,50,279,0.692499825,8,,,
481,41,277,0.512649815,8,,,
539,50,254,0.675249197,8,,,
315,43,234,0.436433297,7,,,
506,49,270,0.578194922,7,,,
301,47,281,0.481697076,8,,,
304,42,265,0.615381478,8,,,
433,49,280,0.626497295,7,,,
361,44,251,0.656686213,7,,,
408,40,281,0.754971422,7,,,
287,50,239,0.708687438,8,,,
367,43,285,0.585799435,7,,,
381,39,289,0.750597368,8,,,
355,48,274,0.656471153,8,,,
426,38,233,0.674850815,7,,,
304,39,272,0.627572999,8,,,
549,41,240,0.512984269,8,,,
474,42,288,0.687152047,7,,,
285,45,256,0.739617988,8,,,
407,51,236,0.460176775,7,,,
449,44,281,0.501869388,6,,,
332,44,260,0.671463493,7,,,
373,48,288,0.638887802,8,,,
463,48,280,0.401025106,6,,,
411,51,263,0.534136795,8,,,
473,38,235,0.625265124,7,,,
550,44,250,0.439665933,6,,,
301,42,281,0.393798963,6,,,
288,51,267,0.533151029,5,,,
308,51,283,0.421190944,5,,,
477,39,253,0.526734892,7,,,
464,50,251,0.495777804,8,,,
489,46,274,0.560447415,8,,,
361,51,263,0.667900346,5,,,
392,49,282,0.548772913,5,,,
498,43,284,0.636514418,6,,,
404,44,260,0.708878341,7,,,
384,48,273,0.365356889,8,,,
351,48,281,0.359244109,5,,,
548,44,285,0.678955377,6,,,
500,39,249,0.492894807,8,,,
480,47,232,0.700986888,7,,,
306,50,270,0.461877789,5,,,
380,48,251,0.479615401,6,,,
419,48,284,0.562862407,6,,,
321,41,264,0.465249589,5,,,
549,49,263,0.755296667,5,,,
444,44,232,0.572087062,5,,,
311,38,289,0.737760869,7,,,
