Nitrogen,Phosphorous,potassium,organiccarbon,pH
527,51,289,0.538912202,7
444,48,272,0.691872429,7
531,48,255,0.656608322,8
409,48,276,0.725591998,8
501,46,244,0.525386903,8
484,48,263,0.683464224,8
375,49,240,0.672551711,7
379,51,257,0.418254082,7
489,42,244,0.350896044,8
386,45,251,0.755157374,8
558,41,249,0.721989469,7
334,39,251,0.48244353,7
295,47,252,0.666959919,7
530,38,238,0.43656825,8
347,46,236,0.543182815,7
520,44,287,0.480475146,8
555,42,284,0.597065675,8
410,50,261,0.654457911,7
391,47,286,0.73056662,8
384,38,248,0.528901921,8
370,45,288,0.588141778,7
534,39,266,0.378675599,8
398,41,234,0.427094423,7
322,45,271,0.509855558,6
341,46,290,0.376840442,7
523,49,282,0.715616201,8
546,51,264,0.43299997,6
458,38,277,0.525282539,8
543,49,275,0.745108629,7
486,45,247,0.378169503,6
430,39,287,0.587632401,6
290,40,246,0.472968429,5
531,38,286,0.6431396,5
502,50,238,0.725303723,7
285,47,263,0.363907412,8
387,41,277,0.379372934,8
322,51,290,0.738427884,5
297,42,290,0.378565071,5
419,47,287,0.595753668,6
353,46,240,0.743565831,7
321,40,248,0.422720384,8
287,42,245,0.564550041,5
332,41,249,0.353835842,6
390,41,249,0.544283258,8
435,48,278,0.408635869,7
494,47,270,0.466233097,5
316,39,242,0.390531489,6
559,51,242,0.491824506,6
482,46,232,0.556341004,5
467,38,262,0.703191339,5
420,38,249,0.605301774,5
546,47,269,0.742674181,7
326,39,267,0.354547393,6
461,38,232,0.665818657,5
491,49,250,0.60021531,7
391,39,257,0.729228445,6
280,50,278,0.427327293,8
539,49,272,0.736127845,5
559,51,260,0.487773886,7
474,41,250,0.420217151,5
287,49,232,0.575336598,7
427,49,238,0.674479117,7
290,49,243,0.485158742,7
339,47,273,0.445667883,7
449,43,255,0.74616779,6
536,51,263,0.410385534,8
461,47,238,0.404851942,4
348,47,247,0.413352678,5
540,51,251,0.721361924,6
559,41,245,0.403450419,6
504,47,267,0.742501159,6
548,39,257,0.404393327,6
428,50,266,0.451140082,8
465,42,259,0.436830647,6
307,46,244,0.64882517,7
311,44,260,0.372518017,5
341,46,251,0.493026738,6
530,46,242,0.607657173,8
387,51,289,0.671511497,6
393,44,253,0.540352214,8
542,46,261,0.603010109,6
537,42,249,0.36577964,8
406,43,233,0.44462709,6
401,40,280,0.526522641,7
411,49,288,0.635948216,6
555,50,264,0.745851688,8
409,47,246,0.735725882,5
475,40,242,0.740100878,8
393,44,252,0.5536521,5
326,47,243,0.63021419,7
286,45,251,0.522737341,5
459,48,270,0.536863511,6
438,45,235,0.585007796,5
342,47,248,0.531869274,6
408,44,268,0.599196439,5
356,42,243,0.737100481,8
538,38,264,0.371901806,5
513,49,234,0.621295632,6
455,51,287,0.589729739,7
300,40,280,0.593987096,5
323,40,266,0.676849849,7
516,51,282,0.686113033,7
340,47,253,0.385026652,8
285,47,240,0.573599985,8
377,41,278,0.427150529,8
480,41,251,0.454550454,8
416,51,280,0.356413002,7
503,49,271,0.472369286,7
444,42,246,0.712814522,8
362,49,246,0.688901926,8
338,46,241,0.707895759,7
375,50,290,0.752800241,7
526,46,277,0.384665155,7
401,50,269,0.433499725,8
539,43,242,0.642270613,7
437,42,272,0.607470911,8
420,38,285,0.607327782,8
357,42,255,0.448857716,7
310,49,254,0.689570536,8
339,41,239,0.604708312,8
514,40,248,0.468359485,7
349,49,233,0.357697275,8
556,41,280,0.528249234,7
381,48,241,0.350131684,6
345,44,233,0.591338312,7
307,45,277,0.670302739,8
516,51,252,0.679970884,6
320,48,236,0.513301556,8
451,47,250,0.571800899,7
336,51,255,0.581876281,6
460,39,234,0.422872756,6
479,46,232,0.721143813,5
529,42,280,0.688899074,5
291,47,247,0.54173329,7
402,51,288,0.723645735,8
424,49,281,0.601959037,8
316,44,286,0.665508671,5
316,49,260,0.72228527,5
462,43,269,0.581521031,6
282,38,235,0.709986837,7
541,42,264,0.664212982,8
503,47,248,0.73015537,5
379,47,252,0.430184293,6
378,47,232,0.712097016,8
413,47,235,0.609324862,7
390,46,246,0.70757325,5
503,41,234,0.743767298,6
291,47,273,0.712683412,6
304,46,243,0.527238461,5
410,38,256,0.726032213,5
467,39,248,0.604838896,7
398,38,246,0.367828621,7
406,44,289,0.606209585,8
430,42,241,0.389405224,8
303,38,252,0.448759836,6
282,49,249,0.400602453,5
516,43,261,0.359013796,7
461,38,260,0.402752249,8
435,51,281,0.696027212,8
291,40,290,0.684070842,8
440,43,281,0.657755111,7
464,43,242,0.551005397,6
328,40,256,0.646481261,5
307,41,247,0.636676421,7
518,39,278,0.496335021,5
372,50,272,0.415055637,8
418,38,259,0.39506606,8
372,38,264,0.431616983,8
502,43,256,0.705639204,8
397,47,235,0.750362706,5
558,39,252,0.524712541,6
521,49,239,0.625442784,6
387,51,288,0.587286366,6
469,41,238,0.446959199,7
480,43,273,0.70324905,5
334,49,285,0.583236791,5
406,41,240,0.392551192,5
424,40,284,0.590603433,5
535,51,234,0.59239023,7
295,47,232,0.676957432,7
402,48,256,0.469757319,7
376,49,232,0.353158769,6
491,43,250,0.613208682,5
542,44,261,0.664582974,8
430,49,232,0.392647551,4
528,42,249,0.610392901,8
522,48,276,0.394312892,6
385,43,256,0.595028784,8
493,39,232,0.466778001,6
391,45,269,0.433307886,8
559,38,277,0.751053147,7
322,42,258,0.663129203,5
310,46,233,0.757247875,6
345,51,271,0.634890424,7
334,40,239,0.668261644,8
366,50,284,0.410826516,6
328,44,258,0.725569922,5
389,40,264,0.574413131,7
471,45,253,0.411489254,5
401,40,248,0.618435763,6
553,40,256,0.580202604,4
475,42,264,0.401871281,5
471,41,255,0.747075434,6
409,38,283,0.591522302,7
452,46,272,0.510025406,8
378,44,252,0.547446161,5
313,39,257,0.683691472,6
556,51,250,0.394692441,7
331,41,264,0.743111117,8
314,42,283,0.438571369,6
523,46,265,0.37557119,7
553,38,275,0.618202727,6
392,51,235,0.739825326,8
394,47,288,0.422513547,7
546,40,242,0.545883446,5
321,40,240,0.435751542,4
432,38,250,0.364521676,8
317,45,282,0.399982066,6
349,46,285,0.498130073,8
359,40,271,0.585832834,7
450,44,281,0.609088371,6
430,51,246,0.383347297,8
477,49,241,0.359659748,6
462,51,266,0.676235318,8
517,46,244,0.451410054,7
408,51,257,0.427088594,7
461,42,255,0.750047284,7
336,45,290,0.631398788,8
481,49,263,0.69002213,4
322,41,233,0.452538961,5
403,42,235,0.694922126,5
539,49,242,0.41292349,6
391,39,239,0.627228631,6
447,38,272,0.576023344,6
466,51,257,0.655366793,5
397,39,239,0.553800831,5
381,43,233,0.417012275,8
390,41,239,0.416476565,8
508,38,282,0.491365597,7
412,48,232,0.59647327,7
420,51,273,0.574587832,4
352,38,243,0.554079063,6
557,38,240,0.729404674,6
352,47,284,0.727035271,6
526,48,286,0.545789365,5
394,38,272,0.431051549,5
489,45,248,0.732604394,8
559,47,280,0.722049766,7
389,41,237,0.755563164,5
487,40,259,0.595887761,6
312,46,269,0.589786265,5
365,41,238,0.479647634,7
499,41,268,0.46004656,6
383,38,273,0.697457798,5
503,50,275,0.455577599,7
517,43,246,0.368251158,6
330,46,270,0.747631365,8
435,43,281,0.40066654,5
411,46,244,0.385123151,7
314,48,268,0.534562501,5
447,41,267,0.450473674,7
345,51,277,0.611520436,7
337,38,289,0.692214147,7
350,41,260,0.359654402,7
496,40,245,0.639946777,6
446,47,268,0.414293841,8
431,44,287,0.483945282,4
358,45,266,0.505523474,5
405,49,258,0.489727276,6
377,50,276,0.717702374,6
546,46,269,0.433717047,6
361,39,235,0.688634825,6
395,50,233,0.605321318,8
353,38,246,0.522342542,6
548,46,246,0.6945175,7
320,47,270,0.415504904,5
364,39,233,0.696945413,6
364,43,261,0.722244533,8
285,42,272,0.386541278,6
514,41,287,0.524802197,8
439,51,279,0.581849613,6
339,44,232,0.402931727,8
495,50,249,0.542511798,6
424,50,237,0.724664357,7
520,44,236,0.551701019,6
547,51,259,0.416724386,8
452,48,286,0.656770532,5
300,51,278,0.510803284,8
294,49,262,0.463262216,5
527,50,276,0.598238089,7
548,51,235,0.753056875,5
436,50,274,0.473538076,6
376,42,283,0.534706125,5
528,41,280,0.597954836,6
394,50,262,0.637601143,5
502,42,289,0.373345545,8
305,40,274,0.659323222,5
365,40,243,0.484409736,6
383,38,286,0.502756051,7
471,39,249,0.604592449,5
530,41,284,0.366484428,7
398,49,257,0.623519967,7
437,51,280,0.453510452,8
515,38,241,0.553835047,8
330,51,277,0.674651775,8
343,48,265,0.732942577,8
517,43,251,0.711515799,7
433,47,260,0.551020828,7
298,45,272,0.499822692,8
514,38,282,0.758187212,8
348,43,239,0.681765087,7
441,48,249,0.643422206,7
453,48,258,0.412937586,7
295,43,280,0.554285428,8
469,48,260,0.406232438,7
361,48,276,0.707089997,8
355,43,241,0.392055583,8
371,50,260,0.50152416,7
508,43,290,0.432080085,8
481,50,273,0.654679843,8
549,38,276,0.712506775,7
319,47,260,0.549986659,8
492,49,266,0.372965621,7
324,48,245,0.634043577,6
453,39,289,0.553429451,7
319,40,249,0.605061517,8
286,42,247,0.549138012,6
517,43,271,0.438341549,8
492,47,256,0.364014118,7
471,40,248,0.568154789,6
296,44,265,0.555830879,6
320,43,266,0.690381089,5
391,39,276,0.532205988,5
341,44,286,0.351213251,7
376,51,257,0.697075466,8
452,48,278,0.600108433,8
414,45,234,0.407385975,5
428,46,265,0.389607085,5
400,47,269,0.445916937,6
304,44,254,0.734312395,7
329,49,267,0.556198465,8
296,47,260,0.406693693,5
468,44,243,0.497898051,6
304,38,241,0.531697781,8
428,47,237,0.638682074,7
402,45,275,0.370445148,5
476,46,239,0.680716338,6
433,42,248,0.466739864,6
549,51,275,0.422121748,5
471,44,253,0.729397318,5
321,46,283,0.370529258,7
350,41,280,0.575006937,7
324,48,257,0.386349822,8
298,42,242,0.428343048,8
453,38,261,0.751374676,6
418,46,278,0.513043306,5
547,48,261,0.505202194,7
324,43,286,0.497967846,8
511,47,271,0.745177007,8
452,48,249,0.611346722,8
328,39,272,0.675861608,7
556,49,258,0.595776371,6
377,44,282,0.538855356,5
509,49,263,0.373783232,7
510,47,261,0.37496363,5
535,44,261,0.435562235,8
358,39,241,0.538056854,8
392,42,236,0.401291133,8
486,40,251,0.422102635,8
493,50,261,0.364487039,5
473,44,251,0.62405924,6
387,46,281,0.484867599,6
398,40,232,0.597942278,6
365,43,284,0.661049057,7
411,46,288,0.354486819,5
557,49,236,0.577751782,5
454,38,273,0.418965584,5
503,46,268,0.387936569,5
320,47,244,0.365462545,7
335,49,237,0.712313453,7
545,41,245,0.748380752,7
518,41,241,0.574703094,6
534,51,238,0.357505425,5
305,48,290,0.461776791,8
426,42,237,0.63811979,4
395,39,254,0.677109238,8
389,48,286,0.396305725,6
453,43,284,0.649166484,8
410,47,234,0.428528026,6
344,44,280,0.48230907,8
353,41,261,0.694905934,7
487,42,267,0.363175983,5
326,42,243,0.533759563,6
531,48,257,0.725399938,7
504,48,261,0.397967983,8
331,42,275,0.364477131,6
499,45,241,0.393429133,5
333,42,236,0.375078186,7
544,39,267,0.680429133,5
555,39,235,0.566626661,6
404,38,272,0.528372946,4
523,47,248,0.437669645,5
538,45,270,0.589433118,6
299,48,245,0.645469173,7
455,50,281,0.707932222,8
319,43,271,0.46577464,5
503,39,283,0.572941408,6
369,51,263,0.358515608,7
386,42,233,0.479284857,8
373,43,268,0.700443571,6
452,48,248,0.672713032,7
508,39,259,0.520482184,6
292,44,274,0.615831124,8
452,48,258,0.660256539,7
471,47,272,0.709019576,5
554,49,257,0.460057957,4
353,51,233,0.440016198,8
362,40,288,0.593887918,6
372,49,270,0.482734639,8
360,41,254,0.387968635,7
414,39,281,0.602577322,6
377,42,282,0.677441835,8
488,42,258,0.663046699,6
488,40,283,0.682595043,8
410,44,263,0.378484474,7
394,49,265,0.699924314,7
408,40,264,0.645501829,7
472,39,270,0.722832162,8
503,39,247,0.3783832,4
361,38,285,0.578719866,5
334,39,245,0.502791179,5
473,48,252,0.385414128,6
495,41,260,0.758787473,6
375,40,264,0.362390637,6
314,39,278,0.678428533,5
558,39,233,0.720341608,5
538,44,287,0.609002081,8
304,47,240,0.622139219,8
308,45,251,0.649914455,7
432,41,278,0.389272631,7
410,45,274,0.634877951,4
544,40,253,0.558655499,6
424,48,290,0.445308664,6
409,47,290,0.455407701,6
320,47,244,0.657200315,5
503,50,262,0.669891438,5
387,48,286,0.561144908,8
426,40,250,0.747745668,7
449,39,250,0.523622086,5
527,46,286,0.605019165,6
349,42,271,0.710119469,5
547,46,237,0.564177881,7
304,48,243,0.473204017,6
295,49,267,0.541275566,5
333,48,261,0.640402179,7
398,51,245,0.557979553,6
366,43,270,0.633788839,8
313,47,276,0.456094684,5
303,38,281,0.669324743,7
343,38,234,0.471328498,5
502,46,281,0.707259736,7
419,48,263,0.758699801,7
552,50,250,0.712730572,7
451,49,250,0.424104923,7
386,50,277,0.528813238,6
432,48,270,0.417606964,8
302,50,287,0.736935627,4
482,41,283,0.402447667,5
475,40,242,0.687699611,6
291,46,263,0.550582229,6
472,49,273,0.715634498,6
507,48,246,0.520301895,6
529,48,275,0.428012755,8
353,46,274,0.455297731,6
481,42,234,0.403194409,7
532,48,261,0.63086398,5
500,47,236,0.654412433,6
459,43,274,0.461101711,8
557,49,242,0.493983262,6
490,44,261,0.436729437,8
485,44,286,0.56445006,6
441,40,252,0.65754846,8
512,40,285,0.487088512,6
407,42,263,0.388261672,7
406,42,286,0.721571742,6
528,49,242,0.454356684,8
347,48,248,0.642574863,5
455,51,259,0.698711617,8
391,41,251,0.45555231,5
396,49,274,0.484894959,7
433,38,264,0.634070484,5
294,45,285,0.613588891,6
504,41,270,0.436281425,5
526,50,244,0.591449422,6
504,45,247,0.368518134,5
485,39,232,0.351779862,8
382,44,233,0.732648812,5
533,47,246,0.494589967,6
435,39,274,0.482916777,7
330,48,258,0.582188255,5
489,43,254,0.659475962,7
342,50,239,0.576477991,7
511,42,277,0.360357846,8
440,50,279,0.692499825,8
481,41,277,0.512649815,8
539,50,254,0.675249197,8
315,43,234,0.436433297,7
506,49,270,0.578194922,7
301,47,281,0.481697076,8
304,42,265,0.615381478,8
433,49,280,0.626497295,7
361,44,251,0.656686213,7
408,40,281,0.754971422,7
287,50,239,0.708687438,8
367,43,285,0.585799435,7
381,39,289,0.750597368,8
355,48,274,0.656471153,8
426,38,233,0.674850815,7
304,39,272,0.627572999,8
549,41,240,0.512984269,8
474,42,288,0.687152047,7
285,45,256,0.739617988,8
407,51,236,0.460176775,7
449,44,281,0.501869388,6
332,44,260,0.671463493,7
373,48,288,0.638887802,8
463,48,280,0.401025106,6
411,51,263,0.534136795,8
473,38,235,0.625265124,7
550,44,250,0.439665933,6
301,42,281,0.393798963,6
288,51,267,0.533151029,5
308,51,283,0.421190944,5
477,39,253,0.526734892,7
464,50,251,0.495777804,8
489,46,274,0.560447415,8
361,51,263,0.667900346,5
392,49,282,0.548772913,5
498,43,284,0.636514418,6
404,44,260,0.708878341,7
384,48,273,0.365356889,8
351,48,281,0.359244109,5
548,44,285,0.678955377,6
500,39,249,0.492894807,8
480,47,232,0.700986888,7
306,50,270,0.461877789,5
380,48,251,0.479615401,6
419,48,284,0.562862407,6
321,41,264,0.465249589,5
549,49,263,0.755296667,5
444,44,232,0.572087062,5
311,38,289,0.737760869,7
489,40,269,0.695703396,6
468,47,282,0.71421507,5
437,48,282,0.587682623,7
454,50,276,0.57761965,6
503,42,242,0.482500043,8
534,38,284,0.601774702,5
477,47,265,0.57756965,7
502,39,239,0.465570502,5
404,44,235,0.388865001,7
490,48,270,0.468504314,7
530,49,265,0.756598517,7
334,39,248,0.574373591,7
341,38,272,0.739902532,6
434,42,247,0.703612191,8
456,41,244,0.471348598,4
312,46,238,0.645622218,5
471,43,277,0.573375817,6
411,46,288,0.55035663,6
520,38,278,0.41068217,6
514,40,264,0.547705265,6
367,41,247,0.580884882,8
529,45,257,0.587877728,6
405,46,256,0.464274073,7
316,51,258,0.418155386,5
498,38,249,0.45060186,6
518,45,289,0.413277145,8
341,41,253,0.585405523,6
398,40,263,0.555986209,8
488,42,241,0.544635311,6
301,51,256,0.694078542,8
422,46,287,0.455114414,6
489,47,288,0.596876017,7
418,48,265,0.383563456,6
468,49,260,0.549062289,8
546,39,249,0.61080004,5
297,43,246,0.592672055,8
353,40,274,0.645647317,5
398,40,240,0.473605019,7
532,50,270,0.65528552,5
330,38,233,0.469128485,6
292,49,265,0.450490604,5
469,39,266,0.618072634,6
369,43,282,0.423936067,5
525,39,256,0.621036153,8
